Station,Postcode,Latitude,Longitude,TLC,NLC,Owner,Entries and exits 2024, Interchanges 2024
Baillieston,G69 7RN,55.844505909339,-4.11369931815988,BIO,9763,ScotRail,155306,0
Balcombe,RH17 6JQ,51.0555201604538,-0.136933757536862,BAB,5492,Govia Thameslink Railway (Southern),180896,0
Baldock,SG7 5BU,51.9928698318742,-0.187563753520231,BDK,6084,Govia Thameslink Railway (Great Northern),527306,0
Balham,SW12 9SG,51.4432234163815,-0.152424495700288,BAL,5399,Govia Thameslink Railway (Southern),5213410,237599
Balloch,G83 8SS,56.0029392993731,-4.58348654319574,BHC,9862,ScotRail,430574,0
Balmossie,DD5 4QH,56.4745685552318,-2.83895622541232,BSI,9013,ScotRail,1186,0
Bamber Bridge,PR5 6EA,53.7268691714662,-2.6607753764786,BMB,2561,Northern Trains,73916,0
Bamford,S32 1EG,53.3390008432273,-1.68908191470249,BAM,2820,Northern Trains,68984,0
Banavie,PH33 7JF,56.8433146084024,-5.09542698683765,BNV,8839,ScotRail,6798,0
Banbury,OX16 5AB,52.0603086671337,-1.32813289497966,BAN,4502,Chiltern Railways,1895360,203888
Bangor (Gwynedd),LL57 1LZ,53.2222875881889,-4.1358808597691,BNG,2471,TfW Rail,697246,596
Bank Hall,L20 8BX,53.4374965462522,-2.98751189569183,BAH,2238,Merseyrail,214170,0
Banstead,SM7 1PZ,51.3293474848423,-0.213158931277083,BAD,5348,Govia Thameslink Railway (Southern),138830,0
Barassie,KA10 6SA,55.5610644543682,-4.65113966824502,BSS,9466,ScotRail,136726,0
Bardon Mill,NE47 7HY,54.9744957852522,-2.34650475516335,BLL,7563,Northern Trains,10736,0
Bare Lane,LA4 6LL,54.0745443408907,-2.83533086719705,BAR,2690,Northern Trains,109644,0
Bargeddie,G69 7TS,55.8512961462984,-4.07380825280165,BGI,9764,ScotRail,88830,0
Bargoed,CF81 9AL,51.6923127611933,-3.22968013064506,BGD,4011,TfW Rail,168084,0
Barking,IG11 8TU,51.5394928787692,0.0809024258638578,BKG,7492,c2c,13236252,1121910
Barking Riverside,IG11 0BF,51.519112,0.114769,BGV,1335,London Overground,944810,0
Barming,ME16 9NS,51.2848926922128,0.478958086821072,BMG,5133,Southeastern,251650,0
Barmouth,LL42 1LS,52.7228954666472,-4.05659664341287,BRM,4445,TfW Rail,177776,0
Barnehurst,DA7 6HQ,51.4649571594916,0.159646215915891,BNH,5089,Southeastern,887598,0
Barnes,SW13 0HT,51.4670847781107,-0.242164290131055,BNS,5551,South Western Railway,2124422,22250
Barnes Bridge,SW13 0NP,51.4720072305495,-0.252630234454485,BNI,5580,South Western Railway,797568,0
Barnetby,DN38 6DG,53.575120046432,-0.409679706265516,BTB,6406,TransPennine Express,52328,4343
Barnham,PO22 0ER,50.8309058508596,-0.639679954401345,BAA,5252,Govia Thameslink Railway (Southern),969364,666514
Barnhill,G21 4NB,55.8774948886876,-4.22300584363342,BNL,9973,ScotRail,72366,0
Barnsley,S71 1BP,53.5543015489003,-1.47716484028851,BNY,6774,Northern Trains,1397540,26961
Barnstaple,EX31 2AU,51.0739744679973,-4.06311775092404,BNP,5725,Great Western Railway,549860,0
Barnt Green,B45 8PA,52.3610898378667,-1.99246673824797,BTG,1096,West Midlands Trains (West Midlands Railway),297650,59781
Barrhead,G78 1AA,55.8037583421428,-4.39728431394783,BRR,9674,ScotRail,492018,0
Barrhill,KA26 0QF,55.0970106102442,-4.78178229089313,BRL,9467,ScotRail,3874,0
Barrow Haven,DN19 7ET,53.697419946542,-0.392955239385703,BAV,6212,Northern Trains,1236,0
Barrow-In-Furness,LA14 5QZ,54.1190037011827,-3.22612090695349,BIF,1954,Northern Trains,559258,25078
Barrow-Upon-Soar,LE12 8US,52.7493358553102,-1.14484305880024,BWS,1903,East Midlands Railway,90826,0
Barry,CF62 8AF,51.3967862682376,-3.28498495899336,BRY,3805,TfW Rail,528696,2855
Barry Docks,CF63 4LE,51.4024452836283,-3.26070393235989,BYD,3806,TfW Rail,248184,0
Barry Island,CF62 5TH,51.3924170726249,-3.27336400852697,BYI,3807,TfW Rail,382218,0
Barry Links,DD11 1PR,56.4931516826701,-2.74544214683501,BYL,9020,ScotRail,666,0
Barton-On-Humber,DN18 5SJ,53.6889177395454,-0.44343673614012,BAU,6207,Northern Trains,29848,0
Basildon,SS16 5XY,51.5681040297501,0.456788850539816,BSO,7494,c2c,2431174,0
Basingstoke,RG21 5NB,51.2683569850094,-1.08726383162934,BSK,5520,South Western Railway,4239778,724235
Bat and Ball,TN14 5AP,51.2897587469008,0.194227480292899,BBL,5090,Southeastern,205726,0
Bath Spa,BA1 1SU,51.3776883852266,-2.3570184714201,BTH,3271,Great Western Railway,6118136,194085
Bathgate,EH48 1BA,55.8971563834902,-3.63609679157923,BHG,9311,ScotRail,898240,0
Batley,WF17 5TA,53.7099423400798,-1.6229526318262,BTL,8484,Northern Trains,260764,0
Battersby,TS9 6LT,54.457680170473,-1.09297186288525,BTT,7909,Northern Trains,2268,0
Battersea Park,SW8 4BH,51.4769582891996,-0.147533519657093,BAK,5420,Govia Thameslink Railway (Southern),1892662,4995
Battle,TN33 0DE,50.9129130238687,0.494702777064857,BAT,5215,Southeastern,447796,0
Battlesbridge,SS11 7RG,51.624822766888,0.56528550890708,BLB,6870,Greater Anglia,21852,0
Bayford,SG13 8PH,51.7577148923117,-0.0956100209046352,BAY,6006,Govia Thameslink Railway (Great Northern),65400,0
Beaconsfield,HP9 2PJ,51.6112905925788,-0.643822282354315,BCF,3047,Chiltern Railways,1043260,0
Bearley,CV37 0EU,52.2444115945748,-1.75025547969474,BER,2420,West Midlands Trains (West Midlands Railway),1766,0
Bearsden,G61 4AN,55.9171345827093,-4.3320211452141,BRN,9966,ScotRail,391478,0
Bearsted,ME14 4PH,51.2758187894535,0.577580355704965,BSD,5091,Southeastern,290212,0
Beasdale,PH39 4NR,56.8995610683265,-5.76380325043513,BSL,8822,ScotRail,260,0
